Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 11.69, 21.55, 16.5, 16.17,
100, 16.15, 27.35, 23.87, 25.9,
150, 18.28, 29.76, 24.75, 29.95,
200, 17.97, 32.04, 26.94, 36.04,
250, 20.35, 38.74, 31.01, 31.79,
300, 20.9, 39.27, 31.33, 14.23,
350, 19.5, 30.25, 27.26, 17.46,
400, 17.05, 17.31, 30.24, 18.8,
450, 20.82, 17.55, 27.23, 18.58,
500, 16.75, 33.1, 15.82, 20.17,
550, 9.99, 37.28, 14.17, 18.45,
600, 9.94, 34.37, 32.52, 19.56,
