Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 19.4, 32.29, 18.44, 20.31,
100, 19.83, 38.92, 22.32, 36.19,
150, 23.5, 37.73, 27.48, 32.65,
200, 23.18, 34.23, 26.75, 36.17,
250, 25.77, 37.51, 31.41, 34.37,
300, 26.74, 42.53, 43.35, 45.53,
350, 29.83, 44.85, 43.89, 47.83,
400, 27.21, 46.17, 42.52, 45.57,
450, 31.69, 47.74, 40.42, 49.08,
500, 31.49, 43.98, 55.15, 55.74,
550, 30.26, 56.47, 54.99, 59.27,
