Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 5.74, 11.48, 8.31, 7.75,
100, 8.48, 14.9, 12.9, 14.09,
150, 9.68, 16.26, 13.78, 16.59,
200, 9.57, 17.74, 14.98, 20.79,
250, 11.14, 22.61, 17.85, 18.14,
300, 11.53, 23.15, 17.69, 6.92,
350, 10.49, 17.27, 15.21, 8.58,
400, 9.18, 8.72, 17.28, 9.78,
450, 11.08, 8.77, 15.3, 9.41,
500, 9.14, 19.32, 7.87, 10.36,
550, 4.65, 21.46, 7.17, 8.99,
600, 4.64, 19.45, 18.85, 10.06,
