Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 2.5, 4.74, 7.65, 4.17,
100, 2.75, 8.1, 7.08, 5.58,
150, 4.69, 9.6, 8.71, 6.06,
200, 5.19, 10.61, 8.19, 5.7,
250, 5.13, 10.85, 10.68, 9.18,
300, 4.27, 14.22, 9.93, 11.95,
350, 5.09, 14.44, 9.21, 15.98,
400, 5.19, 20.82, 12.3, 16.38,
450, 6.35, 11.19, 13.97, 16.12,
500, 4.65, 8.3, 18.98, 16.6,
550, 5.42, 7.42, 8.73, 21.87,
600, 5.84, 14.24, 9.72, 13.43,
