Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 33.34, 52.59, 41.58, 67.94,
100, 44.9, 66.46, 55.05, 64.4,
150, 46.92, 72.87, 61.8, 71.34,
200, 51.36, 75.15, 66.64, 75.18,
250, 55.37, 75.51, 69.89, 76.73,
300, 55.41, 76.97, 70.2, 76.86,
350, 56.58, 77.02, 71.8, 77.1,
400, 57.81, 77.97, 72.72, 77.25,
450, 55.03, 78.13, 74.26, 78.31,
500, 61.58, 79.05, 73.33, 78.72,
550, 62.59, 78.28, 74.16, 79.04,
600, 63.09, 78.93, 74.97, 77.73,
