Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 11.5, 21.28, 10.71, 12.32,
100, 11.66, 26.23, 13.6, 24.12,
150, 14.5, 25.15, 17.38, 21.31,
200, 14.16, 22.7, 16.6, 24.05,
250, 16.27, 25.23, 20.38, 22.61,
300, 17.0, 29.05, 29.84, 31.6,
350, 19.33, 31.03, 29.77, 33.16,
400, 17.11, 32.01, 28.8, 31.68,
450, 20.9, 33.31, 26.99, 34.76,
500, 20.34, 31.55, 39.24, 39.7,
550, 19.68, 40.16, 38.78, 43.33,
