Time, Randoop+small-tests, Randoop, Orienteering,
50, 21.34, 21.92, 36.06,
100, 28.56, 31.1, 47.65,
150, 29.87, 32.28, 53.15,
200, 32.19, 36.02, 56.11,
250, 34.6, 38.66, 56.62,
300, 39.06, 38.61, 58.64,
350, 41.05, 39.57, 59.02,
400, 41.01, 40.72, 60.53,
450, 43.71, 38.88, 61.23,
500, 43.48, 43.71, 62.26,
550, 41.76, 44.46, 61.03,
600, 45.24, 44.81, 62.22,
