Time, Randoop+small-tests, Randoop, Orienteering,
50, 3.66, 2.4, 3.46,
100, 5.78, 3.83, 4.7,
150, 6.72, 4.18, 5.59,
200, 9.92, 3.74, 7.0,
250, 10.72, 4.27, 9.55,
300, 12.34, 4.76, 15.64,
350, 10.99, 3.95, 15.93,
400, 12.4, 6.02, 13.23,
450, 10.59, 6.3, 11.34,
500, 9.85, 4.97, 11.89,
550, 11.77, 4.69, 14.12,
600, 12.28, 4.29, 19.62,
